instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
NOIS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,10,Train,1,421.0,3878.0,421.0,24.0,94.6067415730337,90.20702488950919,50.0,90.61973018549747,65.42346542346543,92.38069436735152,93.28682656797633,0.9864595377445079,0.09996983853333333,0.36925561128333334,4.0,2263.0,83.0,1083.0,0.5069252077562327
NOIS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,10,Test,1,97.0,1014.0,97.0,17.0,85.08771929824562,91.26912691269126,50.0,90.6938775510204,62.98701298701298,88.12424099725925,86.94214158257931,0.9408296511836765,0.09996983853333333,0.36925561128333334,4.0,2263.0,83.0,1083.0,0.5069252077562327
IS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,10,Train,1,433.0,1744.0,433.0,12.0,97.30337078651685,80.1102434542949,50.0,83.0282227307399,66.05644546147978,88.28927863920619,92.14543258685026,0.9886285980534272,0.09996983853333333,0.36925561128333334,4.0,2263.0,83.0,1083.0,0.5069252077562327
IS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,10,Test,1,102.0,1004.0,102.0,12.0,89.47368421052632,90.77757685352623,50.0,90.65573770491804,64.15094339622642,90.12327249267632,89.8648520034263,0.9087286345304397,0.09996983853333333,0.36925561128333334,4.0,2263.0,83.0,1083.0,0.5069252077562327
NOIS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,20,Train,1,431.0,3881.0,431.0,14.0,96.85393258426967,90.00463821892394,50.0,90.64536472566743,65.95256312165264,93.36649914357527,94.79914427466595,0.9913378355751521,0.04475499311666667,0.2993207619666667,4.0,2135.0,250.0,1083.0,0.5163896583564174
NOIS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,20,Test,1,94.0,1013.0,94.0,20.0,82.45614035087719,91.50858175248419,50.0,90.66339066339066,62.251655629139066,86.86451784412641,85.17187277135929,0.9337156843047362,0.04475499311666667,0.2993207619666667,4.0,2135.0,250.0,1083.0,0.5163896583564174
IS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,20,Train,1,437.0,1787.0,437.0,8.0,98.20224719101124,80.35071942446042,50.0,83.32708879730237,66.262319939348,88.82916869416516,92.846788861046,0.9921154791464476,0.04475499311666667,0.2993207619666667,4.0,2135.0,250.0,1083.0,0.5163896583564174
IS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,20,Test,1,107.0,1001.0,107.0,7.0,93.85964912280701,90.34296028880865,50.0,90.67103109656301,65.2439024390244,92.08451853283086,92.8046424726075,0.9049247243426634,0.04475499311666667,0.2993207619666667,4.0,2135.0,250.0,1083.0,0.5163896583564174
NOIS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,30,Train,1,430.0,3883.0,430.0,15.0,96.62921348314607,90.03014143287736,50.0,90.64733081126523,65.90038314176245,93.27133405519265,94.64949186806547,0.993467641446754,0.06943019236666667,0.3282430304833333,4.0,2657.0,99.0,1083.0,0.512927054478301
NOIS,hyperplanes,0.1,2,1,true,4,1000,6,entropy,10,30,Test,1,97.0,1017.0,97.0,17.0,85.08771929824562,91.29263913824057,50.0,90.71661237785015,62.98701298701298,88.13559129540486,86.9491952502441,0.953684259003408,0.06943019236666667,0.3282430304833333,4.0,2657.0,99.0,1083.0,0.512927054478301
